place_id,place_name,latitude,longitude,address,zip_code
ChIJ5xchT60xDogRl2UqCvl6jDs,windy city hot dogs inc,41.77848613692535,-87.72788606162165,4205 w 63rd st ,60629
ChIJi_UVLbzLD4gR7z8clyYNEAc,the nest bar & eatery,41.952633008431256,-87.79847599375748,6855-6859 w irving park rd ,60634
ChIJDQgpYpHLD4gRVvxHwSTe2A4,jolly inn restaurant,41.95276473128929,-87.78907687655371,6501 w irving park rd ,60634
ChIJ0Rcdmp_RD4gRxAxo1uLCO8M,susupuato restaurant,41.99409182900129,-87.66024611480586,6161 n broadway ,60660
ChIJM5IN8rIsDogRCKW5W5TRy9E,tao chicago,41.89335935419248,-87.62984514678732,632 n dearborn st ,60654
ChIJjajpqji0D4gR9X5cfT69zto,air france,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666
ChIJaUwpbjfTD4gRNcVhyOU_Xjg,green leaf thai cuisine,41.96650114090258,-87.68898734901569,4658 n western ave ,60625
ChIJK9Gjkv4uDogRPa7RLju0eHA,brother's submarine inc,41.779718692248785,-87.65444285882549,1158 w 63rd st ,60621
ChIJtdANBdosDogRqzMgVad1L5M,the corned beef factory sandwich shop,41.88568000263013,-87.6529013513384,1016 w lake st ,60607
ChIJceo4IkUsDogRHPC5auhjoQ4,xiao mei xing restaurant,41.84486165253758,-87.64629213517715,2615 s halsted st ,60608
ChIJPQmGYWosDogRsUjm1eUyRH0,chinese kitchen and sushi,41.83827010545886,-87.63746078062489,420-422 w 31st st ,60616
ChIJE0Xswd0xDogRhzP6l9A40Uw,big al's restaurant,41.79620976961329,-87.70348643149427,5333 s kedzie ave ,60632
ChIJn2MSL8ovDogRpetjMTSGSZk,chicago wingz around the world,41.81644707189336,-87.6231758739107,4300 s michigan ave ,60653
ChIJiX4KgLEsDogR8gugSnSptzY,three dots and a dash,41.89020779260571,-87.63094084169998,435 n clark st ,60654
ChIJ9aFUEYAlDogR0FmOoMO7Qes,87th street jerk,41.735860336679785,-87.66601508725581,1710 w 87th st ,60620
ChIJw053SbbSD4gRd9c6vsBfXKY,bourbon on division,41.903263620886506,-87.67927826952334,2050 w division st ,60622
ChIJexf8f4vND4gRfRnA3K4R1Uw,el santo taqueria,41.975805123578695,-87.7132619526397,3352-3354 w foster ave ,60625
ChIJMaurKrIsDogRfzxokqjCMys,bub city,41.89020779260571,-87.63094084169998,435-437 n clark st ,60654
ChIJx1HFOq8sDogRyD-GGl75CRg,the sky - line club,41.88700442325107,-87.62439465711455,307 n michigan ave ,60601
ChIJ7TvI6oLRD4gRFriogUikjIA,little vietnam restaurant,41.98374414417153,-87.65940408893736,1132 w bryn mawr ave ,60660
ChIJxctEOmcpDogRani4W1uY_XA,big sharks,41.75715635980157,-87.55840891304999,7600 s exchange ave ,60649
ChIJA11Kq5_RD4gRjsKFVnUEkJE,lickity split frozen custard & sweets,41.99257145211282,-87.66049389721277,6056 n broadway ,60660
ChIJ0RN-Oa0xDogRmpp8WT1KVEM,mariscos la diabla,41.77869630305849,-87.728713965789,4222-4224 w 63rd st ,60629
ChIJP827LN3RD4gRnsD2bUymdJE,new naan on devon & grill,41.997677158519174,-87.6865994088937,2241 w devon ave ,60659
