place_id,place_name,rating,total_number_of_ratings,price_level,address,city,zip_code
ChIJx4b-6TTND4gRuFNqWx9ydO8,bonita's restaurant,5,6,nan,4138 w armitage ave,chicago,60639
ChIJ6f9YYqTSD4gR1Al4SlCmveM,subway,3.8,61,1,2512 w north ave,chicago,60647-5202
ChIJqaCAFCMxDogRy6lcGqlGVkA,taco bell,4.2,34,nan,5350 s pulaski rd,chicago,60632
ChIJ5ehT21rRD4gRYMyP4Bd66Qk,tai chi bubble tea,5,10,nan,6800 n sheridan rd,chicago,60626-3812
ChIJpR2V8BXND4gRPy600MzMcyg,el capitan restaurant,4.1,42,nan,3758 w armitage ave,chicago,60647-3634
ChIJUXzIKpYxDogRnbnEHYZ9W1A,el sombrero,4.5,48,nan,5220 s pulaski rd,chicago,60632-4222
ChIJj9qgFCzOD4gRnwbBwXYB2uA,main pizza chalavi,4.4,196,2,2839 w touhy ave,chicago,60645
ChIJAQDAYrUsDogRP4hNEthCzr4,11 dining,nan,nan,nan,363 w erie st,chicago,60654
ChIJrcr26tAsDogR-8GTqB3rpjU,ace hotel chicago,4.6,822,nan,311 n morgan st,chicago,60607-1310
ChIJXY5CiyctDogR8-v6307huWo,alhambra palace restaurant,4.1,1125,2,1240 w randolph st,chicago,60607
ChIJXaUCWbUxDogRncafrBDgra0,palermo's of 63rd pizza and restaurant,4.4,437,2,3751 w 63rd st,chicago,60629-4022
ChIJ4bJirsDOD4gRHBc7Q6VsMvw,city's edge,4.5,159,2,5310 w devon ave,chicago,60646-4108
ChIJxW2fRcItDogRH2TeNyK4QDE,kokku distinctive gourmet,5,2,nan,1140 w jackson blvd,chicago,60607
ChIJo9Vb9iLOD4gR8NIzMkXtE0k,delhi darbar inc,3.9,396,2,3010 w devon ave,chicago,60659-1406
ChIJ9eemRwgtDogR_EsmnDF1M4E,carnitas uruapan restaurant,4.7,1530,1,1725 w 18th st,chicago,60608-1913
ChIJk0ZwggrND4gRhLt0yJGJSos,cafe tacuba chicago,4.3,7,nan,4507 w lawrence ave ste 104,chicago,60630
ChIJQ6cCiIPMD4gR2Q-YfEDHkBk,avenida del sabor - ecuadorian food,4.2,132,2,5805 w diversey ave,chicago,60639-1204
ChIJ1cFlAp46DogR0uNpub-Lvkg,conte's pizza,4.2,180,1,8512 s pulaski rd,chicago,60652-3631
ChIJ4bCV89jTD4gRb0AoSPNPwQg,sea & olive,4.3,65,nan,1938 w division st,chicago,60622
ChIJKxRagyzSD4gRI4qY0Rka_Aw,lao sze chuan,4.2,256,2,4832 n broadway,chicago,60640
ChIJdfJsBUDOD4gRLe7ZJKLjYXU,via veneto,4.3,206,2,6340 lincoln ave,chicago,60659
ChIJ8U0rEmIsDogROcBPM_7xIL4,daebak korean bbq,4.3,712,2,2017 s wells st #2f,chicago,60616-3683
ChIJqQyWfSa0D4gRN_IZ45o_HCE,argo tea,3.5,45,1,chicago,60666
ChIJiUAZ5xLND4gRBG_Svxpnqz4,raymond's taco's no.3,4.3,96,nan,3638 w fullerton ave,chicago,60647
ChIJz29MdHrND4gR5pq83uUZbVo,longman & eagle,4.7,1929,3,2657 n kedzie ave,chicago,60647-1607
ChIJTYZMDiotDogRvZPaS632PK0,jimmy john's,3.8,51,1,520 n ogden ave,chicago,60642
ChIJc-2ARiYtDogR8yFmljemmO0,gyu-kaku japanese bbq,4.6,922,2,1364 w randolph st,chicago,60607-1522
ChIJ1TxkUvnRD4gRJYJ320Q9KOQ,mekato's colombian bakery,4.5,587,1,5423 n lincoln ave,chicago,60625-2222
ChIJ4bCV89jTD4gRb0AoSPNPwQg,sea & olive,4.3,65,nan,1938 w division st,chicago,60622
ChIJS3nLocoxDogRUo8v-9k-9dE,los pekes ice cream and coffee shop,4.4,79,1,3742 w 63rd st,chicago,60629
ChIJaeDsomDND4gRiwTMaTCG1TM,healthcare alternative systems,4.2,5,nan,1949 n humboldt blvd,chicago,60647-3823
ChIJbcernpDSD4gRtKDGH8yR2y4,quesadilla la reina del sur,4.6,626,1,2235 n western ave,chicago,60647
ChIJJYtx1jAsDogRvjrVCUAgao4,johnny o's hot dogs,4.2,222,1,3465 s morgan st,chicago,60608-6746
ChIJjy-MvNPTD4gRkuZHiDgtPgo,antojos & shakes,4.9,15,nan,2627 w division st,chicago,60622
ChIJcRRjSCm0D4gRxJ7bVvbQtBM,tortas frontera by rick bayless,4.1,939,2,bessie coleman dr,chicago,60666
ChIJdwM9Ir7ID4gR0qNqi9vN3LM,charcoal flame,4.5,212,nan,6800 dempster street,morton grove,60053
ChIJR6FXtZfSD4gRjJvLCYWO7Vg,floyd's pub,4.5,190,1,1944 n oakley ave #6349,chicago,60647
ChIJSb5z5t4tDogRe8PeMVTvDkA,taco lulú,4.1,55,nan,601 w adams st,chicago,60661
ChIJlSSuJNXTD4gR6KO1UEzrdew,double happiness,4.7,15,1,1061 w argyle st,chicago,60640-3707
ChIJCSm5CUYwDogRKiWt4wsX5EM,baskin-robbins,4.1,61,1,6925 s pulaski rd,chicago,60629
ChIJsT3Fut_RD4gRdgJufFoRRWI,uru-swati,3.8,502,1,2629 w devon ave,chicago,60659-1803
ChIJ78NyRsUsDogR6AqyYoPrts4,au cheval,4.6,4695,2,800 w randolph st,chicago,60607
ChIJs1HOuK4FBYgREBfd2sHyGwg,la terraza,4.6,77,nan,11520 w bluemound rd # 2,wauwatosa,53226-4000
ChIJLRNSnaEtDogRPvL7_wL6Fwg,bp,3.6,7,nan,1955 w cermak rd,chicago,60608
ChIJB0HzSwgtDogRz3cK_3JXy-E,print with me printer at nitecap coffee bar,4.7,19,nan,1738 w 18th st,chicago,60608-1914
ChIJ_w7sVbHTD4gRYiLj4jA2o-Y,smokey's wing shack,nan,nan,nan,2627 w division st,chicago,60622
ChIJF5VonrjSD4gRBgGbmXf3hWU,urbanbelly,4.4,394,2,1542 n damen ave,chicago,60622-1942
ChIJL4EI15_LD4gRyz0pgTLrVnw,overtime sports bar,4.7,92,nan,6714 w belmont ave,chicago,60634
ChIJY67C8EfLD4gRTZuqwPeFNRw,cafe hoang,4.4,106,1,6818 w north ave,chicago,60707-4411
ChIJdeaorlMtDogRgPr-G3W_Lho,rare form lounge,nan,nan,nan,2251 w taylor st,chicago,60612
ChIJh_oVv0QtDogRlRO5mTl-LuY,popeyes louisiana kitchen,3.3,577,1,50 n western ave,chicago,60612
ChIJuSHgkZfSD4gRMhgH9emwC7g,lazo's tacos,3.9,1124,1,2009 n western ave,chicago,60647-4103
ChIJ__8739HSD4gRuKgGEgcnPvM,mariscos la costa 2,4.5,178,nan,1132 n ashland ave,chicago,60622
ChIJ04emFn7ND4gRJ_2kvIAhixQ,ihop,4,1367,1,2818 w diversey ave,chicago,60647
ChIJTxSyOsfSD4gRUy8JoHTgkVw,piece out,nan,nan,nan,chicago,60622
ChIJVR42WNksDogRntizbJVxpME,crosstown fitness - west loop,4.9,184,nan,1031 w madison st,chicago,60607
ChIJgVZJntAsDogRGymcVEr0ypI,gaijin,4.8,16,nan,950 w lake st,chicago,60607
ChIJUd2L8trND4gRJZ9gTYiBhIQ,los asadores mexican grill,5,5,nan,3312 w foster ave,chicago,60625-4813
ChIJY4TVKFQkDogR4mjVqRDBbLU,home of the hoagy,4.1,1283,2,1316 w 111th st,chicago,60643-3618
ChIJVfsb7Rg7DogRoZ5xFCSrzg4,firewater saloon,4.2,326,2,3908 w 111th st,chicago,60655
ChIJE20SeJDND4gRRxLzMpy7uI4,subway,4.2,36,1,3235 w addison st,chicago,60618
ChIJfWmJOsfSD4gRVMPC4R4Q10w,piece brewery,4.5,1437,2,1927 w north ave,chicago,60622
ChIJi9juTI7JD4gRAH89Tqt81iA,kung fu wok asian fusion restaurant,3.9,16,nan,6249 n milwaukee ave,chicago,60646
ChIJu1U9qsnSD4gRu1jZ4n1kTNY,red square spa,4.5,329,nan,1914 w division st,chicago,60622
ChIJ7ThroxstDogRcgnRTuaTCrQ,golden thai,4.4,274,1,1509 w taylor st # 1,chicago,60607-4050
ChIJwxSm6J4yDogRfdNjdyC2u9o,the original maxwell street,4,298,1,601 s sacramento blvd,chicago,60612-3348
ChIJibzc3rYtDogRNFEVMQCu1vE,jason wok,4.8,9,nan,1014 s western ave,chicago,60612
ChIJAfy1G37ND4gRTridzOuEXzw,popeyes louisiana kitchen,4.1,805,1,2800 w diversey ave,chicago,60647
ChIJ5_FPg4_RD4gRYqCP-6QJtMQ,tanoshii,4.5,250,2,5547 n clark st,chicago,60640-1222
ChIJI06KKzUtDogRNqs5Ha0G54w,roots handmade pizza,4.3,955,2,1924 w chicago ave,chicago,60622
ChIJVaF9pRstDogRs-PzIlSi4Rs,jubrano's,4.5,102,1,1519 w taylor st,chicago,60607-4015
ChIJne25kwjND4gRatqWgG8TDqM,starbucks,4.1,209,2,5601 w lawrence ave,chicago,60630
ChIJOQgJucbSD4gRgVXXEp8csFw,las palmas restaurant,4.4,268,2,1835 w north ave,chicago,60622-1311
ChIJ16xtFdLND4gRGpN0OOoZCxM,ssyal - chicago korean restaurant,4.7,414,2,4201 w lawrence ave,chicago,60630-2728
ChIJo6S8k4LRD4gRdaIrevdrc_Y,blowfish sushi & ramen,4.6,479,2,1131 w bryn mawr ave,chicago,60660
ChIJyRS8tTrTD4gRtrGH7OKHXSc,danang kitchen,nan,nan,nan,1019 w argyle st,chicago,60640
ChIJ4xXTeZfSD4gR6QeZRvAMOkc,birrieria estilo jalisco,4.4,292,2,2230 n western ave,chicago,60647-4167
ChIJvzCdHhbMD4gR376DHc_Jr-I,the windsor tavern and grill,3.7,164,1,4530 n milwaukee ave,chicago,60630
ChIJpVx_DzjMD4gRvFIQLcx5gVI,ihop,3.7,981,1,4210 n cicero ave,chicago,60641
ChIJHzZbocg0DogRCXhCAB0ZcGM,cooper's hawk winery & restaurant,4.4,968,2,950 lake st,oak park,60301
ChIJq6q6wLjSD4gROoqWFKpgB6Q,angry pig tavern,4.5,166,2,2039 w north ave,chicago,60647
ChIJBek4rsDSD4gRl_vkgCbqDnU,northside bar & grill,4.2,441,2,1635 n damen ave,chicago,60647
ChIJFRe8FPstDogRDmWvccThc-U,mcdonald's,3.6,1371,1,3867 s archer ave,chicago,60632
ChIJWU5qmL3SD4gRCQYHHxYtp7E,silom 12,4.4,163,2,1846 n milwaukee ave,chicago,60647
ChIJRSn-ONe1D4gRai9JNZj47wM,gold coast dogs,3.8,438,1,10000 bessie coleman dr,chicago,60666
ChIJRUPK8-_ND4gRVwrTsYcYnqQ,salam restaurant,4,857,1,4636 n kedzie ave,chicago,60625
ChIJg66fHCe0D4gR44TuxP8UWCY,united club,3.7,428,nan,10000 west o'hare ave,chicago,60666
ChIJF2f7353RD4gR6irbDQFlnqM,china palace,3.6,108,1,1129 w thorndale ave,chicago,60660
ChIJL04Mzo21D4gR0Bx9ReEm2eM,goose island beer company,3.7,208,nan,avenue gate b5,chicago,60666
ChIJLRbpVM7SD4gRGbrDwLRHcrQ,bangers and lace,4.4,579,2,1670 w division st,chicago,60622
ChIJKXQZpXrLD4gRsc9IPF_36LY,super china buffet,4,449,1,2650 n narragansett ave c5 - c8,chicago,60639-1087
ChIJe44dX3AtDogRubIB3j62c8s,burger king,3.6,208,1,w ogden ave,chicago,60608
ChIJMUPhAPoxDogReOLexgb0KeY,frank's chicago shrimp house,4.5,213,2,4459 s archer ave,chicago,60632-2845
ChIJ1zhOMHIuDogRyB8Aw1tcowI,la cecina,4.1,482,2,1934 w 47th st,chicago,60609-3835
ChIJvxctudAxDogRsjjV5X5VXFA,betty's ice cream,4.9,53,nan,5840 s kedzie ave,chicago,60629
ChIJB5GjFaTTD4gRHD9V-8hB0-A,vanille pâtisserie,4.6,136,2,3243 n broadway,chicago,60657
ChIJ-aKXPgzTD4gRLor4Q1tfvr8,cafe vienna,4.3,276,1,2523 n clark st,chicago,60614
ChIJj74yhxTTD4gRBdgIqda58zg,gemini,4.5,292,3,2075 n lincoln ave,chicago,60614
ChIJBZiqlknLD4gRvgytA49w_Fo,fannie schmoe's bakery llc,nan,nan,nan,4613 n oketo ave,harwood heights,60706
ChIJaRl6eNgsDogRf8lujStctCQ,lou malnati's pizzeria,4.4,1322,2,1235 w randolph st,chicago,60607-1517
ChIJTcDpnlHSD4gRZOaxJicTdjo,tuco and blondie,4.3,595,2,3358 n southport ave,chicago,60657-1439
ChIJ-Ufji7zLD4gRonqmEoMu9sk,anthony's diner,5,5,nan,7544 w addison st,chicago,60634
ChIJudKeYtIsDogRfWhiR7GzovE,galleria marchetti,4.4,189,1,825 w erie st,chicago,60642-5904
ChIJfXWIMNnSD4gRS7RwZCotnlQ,stanley's grill,4.5,135,1,1543 n elston ave,chicago,60642-2421
ChIJRx_TgsAvDogRJjpEo7lUKeQ,taqueria mi pueblo,4.7,49,nan,2459 w 51st st,chicago,60632
ChIJfY9dm8U2DogRYoSruwpQoTg,shrimp shack,4.5,352,2,6601 w archer ave,chicago,60638-2407
ChIJEQ9xRhDTD4gRp1djRjjsB8I,johnny's beef & gyros lincoln park,4.5,254,1,2300 n lincoln ave,chicago,60614
ChIJ2ypthVYTDogRgTsL-BiW9Sc,bentley's pet stuff,4.9,71,nan,21 s ash st,frankfort,60423
ChIJLwehLqovDogR-Nn3Z5VJJNY,hunger hideout,5,3,nan,2539 w 79th st,chicago,60652
ChIJWyc4-ozND4gRYGmcEotDMis,tano's pizzeria,4.4,123,1,3038 w irving park rd,chicago,60618
ChIJO7epIgzTD4gRZBrmnpnHXKQ,aloha eats,4.6,438,1,2534 n clark st,chicago,60614-1712
ChIJFXchGjxt_oYR3OZ7Dv4sz3A,mi linda michoacana,4.5,240,nan,2002 34th st,lubbock,79411-1832
ChIJmQvfksvTD4gRafdwOI7HfhY,pizza metro,5,1,nan,1707 w division st,chicago,60622
ChIJa6l3MhjTD4gR7_dFRCJ_Et4,quality crab & oyster bah,4.6,559,2,1962 n halsted st,chicago,60614-5009
ChIJ9yFCWILRD4gRSedorYiAK2M,pasteur,4.4,110,2,5525 n broadway,chicago,60640
ChIJ8yetOQXTD4gRHp_6Nm83kg0,qdoba mexican eats,4.3,271,1,957 w diversey pkwy,chicago,60614
ChIJEzgABtHRD4gRPzEAQTC33FI,bina's cafe & mediterranean bistro,4.8,83,nan,2407 w lunt ave,chicago,60645
ChIJ4QZeuxvMD4gRyscApg13-OQ,mcdonald's,3.6,804,1,4946 n milwaukee ave,chicago,60630
ChIJgTgrrPrMD4gR2_8oNRNQyzA,restaurante y tamaleria la bendicion,4.4,68,nan,2567 n cicero ave,chicago,60639
ChIJWQwINsQtDogRQvFqTEb7llc,siri indian restaurant,4.4,341,nan,1520 w taylor st,chicago,60607
ChIJ8b4wTs7SD4gR_Qgol2aC7bU,5411 empanadas | division,4.5,190,1,1659 w division st,chicago,60622
ChIJVR_s6bLTD4gRE48xLsrwvIM,cubby bear,4.1,836,2,1059 w addison st,chicago,60613
ChIJ2TzjVki8QIYR8rBeeXUQuGA,doña chela restaurant,4.3,212,1,1112 76th st,houston,77012-1004
ChIJgQw0jYvRD4gRXORjbUrNq4s,pauline's,4.5,434,1,1754 w balmoral ave,chicago,60640-1124
ChIJYZ60zNgwDogRQSZMiebQQI4,chicago bear sports bar,4.3,53,nan,6335 s central ave,chicago,60638-5536
ChIJDYXmz7AxDogRjKJsnQHJPNY,pizza nova,3.7,434,1,5849 s pulaski rd,chicago,60629-4543
ChIJ0ZFty-EsDogRHoKLStDzB8E,jade court chinese cuisine,4.3,193,2,626 s racine ave,chicago,60607
ChIJRYk3wpUtDogR4v7HM1rs_qc,jackie’s mexican cuisine,4.4,57,nan,3207 s halsted st,chicago,60608
ChIJv2NPdZbSD4gRouXPbrFYvHo,antico,4.7,132,3,1946 n leavitt st,chicago,60647-4456
ChIJmTyEUSDOD4gRl0ZxMKK6Cjo,mr. falafel,4.7,329,1,6404 n california ave,chicago,60645
ChIJeXTItBvMD4gRJ4hG5yqifss,gale street inn chicago,4.6,834,2,4914 n milwaukee ave,chicago,60630
ChIJIVrbHPjMD4gRQfUHdZXic5U,la estrella blanca,3.9,29,nan,chicago,60641
ChIJ_bSNqsTSD4gRiY1MNGnZ4vQ,tarboush mediterranean grill,4.4,143,1,1608 w north ave,chicago,60622
ChIJUdv_MmPRD4gR8WVDtktNIgc,yinkres nigerian restaurant,nan,nan,nan,2407 w lunt ave,chicago,60645
ChIJf4UCjadCGYgRPk63PEDsfwo,compass group usa inc,nan,nan,nan,6477 syers rd,holton,49425-7508
ChIJp3INTqYlDogRhd2yf71gnVI,uncle joe's jerk,3.7,286,nan,10210 s vincennes ave,chicago,60643-1366
ChIJTVmt6vPMD4gRLDG3F5Tljq4,zacatecas restaurant,4.1,183,2,5037 w diversey ave,chicago,60639
ChIJ4Su6VogtDogRm8DQolCed28,popeyes louisiana kitchen,3.7,221,1,2556 s california ave,chicago,60608
