,DBA Name,Latitude,Longitude,Address,Zip
37773,rosati's pizza & california style deli,41.89171839486572,-87.63233795769976,126 w grand ave ,60654.0
37782,kamayan express,41.97571673235794,-87.67924580841124,5131 n damen ave ,60625.0
37793,42 grams,41.966956698860955,-87.65863147315861,4662 n broadway ,60640.0
37816,kennedy sub,41.77972433102348,-87.6643735029789,6252 s ashland ave ,60636.0
37823,"forbis pizza, inc.",41.80099610271509,-87.68710441187673,2509 w 51st st ,60632.0
37824,new sunny sub & fish inc,41.765819375359385,-87.61534676528679,380 e 71st st ,60619.0
37837,venice cafe,41.87856015362371,-87.63652387205532,233 s wacker dr ,60606.0
37849,ken tone's drive-in,41.85752450274652,-87.64091638453037,551 w 18th st ,60616.0
37864,kasey's tavern,41.873324341718224,-87.62902170438788,701 s dearborn st ,60605.0
37878,mexican restaurant,41.80768469489128,-87.72964242714635,4225 w 47th st ,60632.0
37890,euro cafe',41.94268078663294,-87.806767943995,3435 n harlem ave ,60634.0
37915,citizen,41.89404766848803,-87.63820204272278,364 w erie st ,60654.0
37918,jimmy's pizzeria and cafe,41.97576346047669,-87.69219986272583,5159 n lincoln ave ,60625.0
37930,burger king ,41.95407627735041,-87.69968215567239,2834 w irving park rd ,60618.0
37957,melrose diner,41.94102195182197,-87.64428253705525,3231-3233 n broadway ,60657.0
37958,intro,41.923908454855926,-87.63666316560742,2300 n lincoln park west ,60614.0
37964,the logan theatre,41.92981810773004,-87.70886554390577,2646-2648 n milwaukee ave ,60647.0
37965,island fish & chicken,41.77224374332346,-87.65416114140606,6701 s racine ave ,60636.0
37997,robert morris college,41.87686736408027,-87.6275032991427,401 s state st ,60605.0
38029,white castle ,41.75160322593156,-87.58656542528963,1550 e 79th st ,60619.0
38030,island party hut,41.88780560547408,-87.61788171685379,355 e riverwalk south ,60601.0
38057,starbucks coffee ,41.947947324373786,-87.68844043392538,3640 n western ave ,60618.0
38067,joe's grill fish & chicken,41.88708768190208,-87.7649572507278,345 n central ave ,60644.0
38073,blue soul restaurant,41.69107682993281,-87.6424904576201,11142 s halsted st ,60628.0
38088,mercer 113,41.889903495530994,-87.63168042551926,113-119 w hubbard st ,60654.0
38098,standing room only chicago,41.8743270495379,-87.62935647953225,610 s dearborn st ,60605.0
38112,kick stand,41.940076854717596,-87.65029486799551,824 w belmont ave ,60657.0
38160,dog day afternoon,41.916085623271975,-87.80553599333763,7183 w armitage ave ,60707.0
38171,bake,41.91047576474006,-87.68421868507043,2246 w north ave ,60647.0
38204,the lorali,41.968958572837174,-87.65636686737149,1039 w lawrence ave ,60640.0
38208,murray's fish and chicken,41.87352016759248,-87.71063936830366,3357 w harrison st ,60624.0
38237,toms shoes,41.91079710955087,-87.67732469718014,1611 n damen ave ,60647.0
38268,mike's big gyros,41.751009580289924,-87.62440141614083,7859 s state st ,60619.0
38269,u rice,41.911805641950394,-87.64814978058949,1629 n halsted ,60614.0
38300,mid-town tennis club,41.92512495185275,-87.67875125080455,2020 w fullerton ave ,60647.0
38316,firehouse subs,41.87800606262711,-87.63402203216755,209 w jackson blvd ,60606.0
38337,marlons chicken & fish,41.75859737248707,-87.61011460031666,602 e 75th st ,60619.0
38342,amorino chicago,41.897908727909495,-87.6283801341475,838 n state st ,60610.0
38365,2002 donuts inc,41.93999455649383,-87.65088551466476,3200 n clark st ,60657.0
38367,mr gyros,41.90262840400714,-87.71847813811212,3649 w division st ,60651.0
38369,charlotte's bar and grill,41.96864190649567,-87.77830163616821,6000 w gunnison st ,60630.0
38371,bow truss,41.93592957402078,-87.64440716256712,2934 n broadway ,60657.0
38374,carriage house,41.90340737417533,-87.67046561351755,1700 w division st ,60622.0
38379,go go restaurant,41.78039045197589,-87.68381819301851,6220 s western ave ,60636.0
38380,kinmont,41.89541608374708,-87.63937316729836,419 w superior st ,60654.0
38395,pak sweets,41.99786100518588,-87.68860508498791,2326 w devon ave ,60659.0
38402,mana food bar,41.90338675555349,-87.67174026586649,1742 w division st ,60622.0
38463,kilwins chocolates & fudge,41.80012851019524,-87.58920988297274,5226-5228 s harper ave ,60615.0
